;once code is run, acc number,pins and names plus balaces will be written here

12344,17533,10440,MESHAL
19876,17456,11500,MENAL
16744,18533,39000,NAWAL
17643,11111,21456,HAMMAD
12333,22223,98765,MUSA
15634,17635,55500,USAMA
19777,19864,98712,SOBIA
10876,13486,76123,HAJIRA
10999,15546,23000,SAQIB
11112,76433,40000,RIMSHA
16342,87422,3456,IDREES
11296,98636,1244,MATEEM
16732,45664,900000,KAINAT
19754,61785,876434,HUDA
13464,64972,185753,MOMINAH
10987,54321,138533,HAMZA
12344,17533,10440,MESHAL
19876,17456,11500,MENAL
16744,18533,39000,NAWAL
17643,11111,21456,HAMMAD
12333,22223,98765,MUSA
15634,17635,55500,USAMA
19777,19864,98712,SOBIA
10876,13486,76123,HAJIRA
10999,15546,23000,SAQIB
11112,76433,40000,RIMSHA
16342,87422,3456,IDREES
11296,98636,1244,MATEEM
16732,45664,900000,KAINAT
19754,61785,876434,HUDA
13464,64972,185753,MOMINAH
10987,54321,138533,HAMZA
